#{"t_start": 1781994639.7331696, "env_id": "CartPole-v1"}
r,l,t
40.0,40,27.720147
67.0,67,27.884149
91.0,91,28.07814
39.0,39,28.179148
63.0,63,28.348679
72.0,72,28.528303
18.0,18,28.578301
15.0,15,28.612296
19.0,19,28.667301
23.0,23,28.739301
27.0,27,28.7923
14.0,14,28.8293
19.0,19,28.8633
19.0,19,28.9213
31.0,31,28.999301
23.0,23,29.055303
15.0,15,29.089308
147.0,147,29.428303
61.0,61,29.589302
24.0,24,29.645302
54.0,54,29.774301
12.0,12,29.816298
97.0,97,30.040303
46.0,46,30.144303
70.0,70,30.314303
17.0,17,30.367299
31.0,31,30.442301
47.0,47,30.556297
30.0,30,30.62531
14.0,14,30.666304
23.0,23,30.720301
10.0,10,30.736303
81.0,81,30.939301
47.0,47,31.058303
45.0,45,31.182302
23.0,23,31.244304
51.0,51,31.376302
26.0,26,31.446295
44.0,44,31.563303
58.0,58,31.712306
40.0,40,31.805295
49.0,49,31.968304
75.0,75,32.187851
21.0,21,32.253853
25.0,25,32.350851
64.0,64,32.522852
38.0,38,32.615852
35.0,35,32.717853
19.0,19,32.75385
92.0,92,32.98909
10.0,10,33.011293
49.0,49,33.14107
28.0,28,33.219028
32.0,32,33.313909
43.0,43,33.425302
73.0,73,33.595303
42.0,42,33.7083
21.0,21,33.771301
67.0,67,33.940302
43.0,43,34.0323
55.0,55,34.159301
18.0,18,34.222303
35.0,35,34.303301
30.0,30,34.367766
48.0,48,34.473765
27.0,27,34.537771
70.0,70,34.715769
51.0,51,34.836769
53.0,53,34.977771
46.0,46,35.090772
35.0,35,35.184768
38.0,38,35.280771
31.0,31,35.355768
22.0,22,35.390769
23.0,23,35.434768
85.0,85,35.63477
65.0,65,35.776769
64.0,64,35.94677
18.0,18,35.979779
53.0,53,36.11077
36.0,36,36.174768
24.0,24,36.233771
26.0,26,36.310764
41.0,41,36.412778
22.0,22,36.472771
34.0,34,36.53777
82.0,82,36.727771
43.0,43,36.822783
45.0,45,36.93286
32.0,32,37.000859
55.0,55,37.147852
39.0,39,37.238857
37.0,37,37.32786
138.0,138,37.670402
43.0,43,37.7824
60.0,60,37.930401
19.0,19,37.9794
95.0,95,38.227399
18.0,18,38.261409
15.0,15,38.280401
51.0,51,38.422408
27.0,27,38.497402
91.0,91,38.7414
106.0,106,38.994399
58.0,58,39.123401
26.0,26,39.172398
57.0,57,39.3234
35.0,35,39.405401
153.0,153,39.790398
36.0,36,39.870399
109.0,109,40.120398
53.0,53,40.232401
74.0,74,40.4084
77.0,77,40.5994
13.0,13,40.630397
51.0,51,40.740401
39.0,39,40.831407
43.0,43,40.9464
61.0,61,41.0884
70.0,70,41.260398
21.0,21,41.304398
19.0,19,41.356398
21.0,21,41.395403
99.0,99,41.6124
17.0,17,41.6464
13.0,13,41.689397
118.0,118,42.001398
16.0,16,42.054401
34.0,34,42.150397
21.0,21,42.2134
52.0,52,42.345398
63.0,63,42.5184
41.0,41,42.6324
146.0,146,43.027399
38.0,38,43.140953
63.0,63,43.318952
74.0,74,43.514954
97.0,97,43.784961
69.0,69,43.959954
24.0,24,44.034951
82.0,82,44.23895
26.0,26,44.308953
164.0,164,44.724953
39.0,39,44.833385
48.0,48,44.958323
22.0,22,45.031464
153.0,153,45.432366
45.0,45,45.539706
93.0,93,45.806543
39.0,39,45.933763
165.0,165,46.427406
72.0,72,46.643719
57.0,57,46.810611
170.0,170,47.429357
38.0,38,47.547324
100.0,100,47.829729
23.0,23,47.896811
71.0,71,48.119078
87.0,87,48.375894
62.0,62,48.554976
159.0,159,49.065681
73.0,73,49.25568
96.0,96,49.505678
57.0,57,49.66868
50.0,50,49.767682
57.0,57,49.92468
36.0,36,50.015677
33.0,33,50.096691
145.0,145,50.42468
44.0,44,50.540677
57.0,57,50.664673
125.0,125,50.97268
13.0,13,51.00168
26.0,26,51.071678
213.0,213,51.608676
83.0,83,51.812677
114.0,114,52.116672
20.0,20,52.175678
129.0,129,52.503679
33.0,33,52.579676
78.0,78,52.801678
20.0,20,52.869677
80.0,80,53.121679
173.0,173,53.628678
93.0,93,53.888679
28.0,28,53.97468
101.0,101,54.296232
23.0,23,54.380229
108.0,108,54.689232
35.0,35,54.80123
57.0,57,54.967231
181.0,181,55.486573
34.0,34,55.586103
54.0,54,55.731421
186.0,186,56.245237
116.0,116,56.537472
124.0,124,56.881132
78.0,78,57.100563
117.0,117,57.425749
102.0,102,57.691026
23.0,23,57.742408
117.0,117,58.054042
24.0,24,58.111539
111.0,111,58.422001
61.0,61,58.584561
197.0,197,59.136353
190.0,190,59.662532
163.0,163,60.112041
40.0,40,60.233845
212.0,212,60.806222
104.0,104,61.076223
15.0,15,61.107223
200.0,200,61.688225
44.0,44,61.820225
49.0,49,61.989223
130.0,130,62.380224
154.0,154,62.845225
11.0,11,62.889225
35.0,35,62.995223
140.0,140,63.409224
108.0,108,63.724225
19.0,19,63.790221
99.0,99,64.062224
19.0,19,64.119221
125.0,125,64.435225
240.0,240,65.097132
28.0,28,65.171294
65.0,65,65.353691
77.0,77,65.593646
215.0,215,66.179134
82.0,82,66.401573
58.0,58,66.554505
177.0,177,67.022905
145.0,145,67.464548
92.0,92,67.731492
220.0,220,68.355629
165.0,165,68.861631
153.0,153,69.350629
127.0,127,69.725631
12.0,12,69.755629
165.0,165,70.257631
189.0,189,70.845174
188.0,188,71.392339
174.0,174,71.867218
197.0,197,72.447772
142.0,142,72.879171
179.0,179,73.363266
95.0,95,73.658537
140.0,140,74.049476
215.0,215,74.744473
97.0,97,75.054595
136.0,136,75.438894
80.0,80,75.683187
176.0,176,76.173717
159.0,159,76.678725
153.0,153,77.13181
179.0,179,77.787767
112.0,112,78.150394
173.0,173,78.724092
181.0,181,79.309093
211.0,211,80.014093
143.0,143,80.500092
197.0,197,81.099092
179.0,179,81.604638
189.0,189,82.242635
280.0,280,83.099638
63.0,63,83.306635
287.0,287,84.132842
175.0,175,84.63784
250.0,250,85.405457
168.0,168,85.952966
169.0,169,86.471381
248.0,248,87.321906
261.0,261,88.266581
233.0,233,89.090182
225.0,225,89.778368
187.0,187,90.280808
205.0,205,90.886264
164.0,164,91.379715
321.0,321,92.331599
179.0,179,92.896693
240.0,240,93.610144
219.0,219,94.301804
173.0,173,94.847871
199.0,199,95.500402
200.0,200,96.16316
175.0,175,96.766199
276.0,276,97.59428
184.0,184,98.125743
449.0,449,99.521542
229.0,229,100.203612
223.0,223,100.855001
242.0,242,101.605392
211.0,211,102.389691
220.0,220,103.058897
214.0,214,103.81079
277.0,277,104.860566
226.0,226,105.666219
213.0,213,106.357599
237.0,237,107.021674
249.0,249,107.779679
234.0,234,108.468673
261.0,261,109.211205
207.0,207,109.804207
354.0,354,110.839733
229.0,229,111.51047
194.0,194,112.142473
201.0,201,112.837473
189.0,189,113.474473
177.0,177,114.131472
235.0,235,114.960028
233.0,233,115.639023
352.0,352,116.694437
227.0,227,117.395348
220.0,220,118.138688
275.0,275,118.982387
342.0,342,120.031589
203.0,203,120.665586
189.0,189,121.274585
192.0,192,121.935527
325.0,325,123.033744
172.0,172,123.557744
163.0,163,124.013746
261.0,261,124.883994
205.0,205,125.528692
183.0,183,126.110153
239.0,239,126.911304
196.0,196,127.540617
172.0,172,128.046978
203.0,203,128.700362
211.0,211,129.409673
229.0,229,130.146964
205.0,205,130.795607
230.0,230,131.557259
181.0,181,132.16387
223.0,223,132.856003
169.0,169,133.474712
348.0,348,134.562734
196.0,196,135.120205
280.0,280,136.00174
204.0,204,136.678955
213.0,213,137.325425
227.0,227,137.952418
215.0,215,138.560417
286.0,286,139.451415
243.0,243,140.201417
225.0,225,140.879418
224.0,224,141.530408
322.0,322,142.612968
295.0,295,143.547971
276.0,276,144.437231
188.0,188,145.053417
273.0,273,145.964809
191.0,191,146.537801
216.0,216,147.244896
169.0,169,147.837453
267.0,267,148.699636
299.0,299,149.784566
221.0,221,150.595566
207.0,207,151.333558
253.0,253,152.128566
187.0,187,152.741234
252.0,252,153.562727
298.0,298,154.452134
213.0,213,155.097109
230.0,230,155.772268
252.0,252,156.630266
187.0,187,157.315351
204.0,204,158.02966
223.0,223,158.864389
205.0,205,159.468743
183.0,183,159.979965
185.0,185,160.533968
255.0,255,161.28997
203.0,203,161.91505
172.0,172,162.460047
377.0,377,163.516053
393.0,393,164.784592
191.0,191,165.341597
163.0,163,165.865596
218.0,218,166.599592
178.0,178,167.194679
281.0,281,168.067914
207.0,207,168.715941
210.0,210,169.394373
196.0,196,169.977361
261.0,261,170.725358
324.0,324,171.607361
223.0,223,172.339365
245.0,245,173.134365
219.0,219,173.876863
188.0,188,174.520993
254.0,254,175.430747
239.0,239,176.173023
217.0,217,176.855222
243.0,243,177.640476
308.0,308,178.594282
221.0,221,179.186271
265.0,265,179.934279
366.0,366,180.951823
231.0,231,181.720829
309.0,309,182.784827
231.0,231,183.569829
271.0,271,184.295826
272.0,272,185.136826
236.0,236,185.8548
344.0,344,186.964351
293.0,293,187.843098
290.0,290,188.747921
267.0,267,189.622929
318.0,318,190.678056
226.0,226,191.451974
299.0,299,192.442915
370.0,370,193.789438
369.0,369,194.971425
210.0,210,195.602736
234.0,234,196.483266
317.0,317,197.800896
283.0,283,198.854112
292.0,292,199.772156
263.0,263,200.603153
250.0,250,201.378156
181.0,181,201.920152
243.0,243,202.772711
356.0,356,203.850708
192.0,192,204.44491
500.0,500,206.226224
278.0,278,207.251476
268.0,268,208.249026
181.0,181,208.889236
285.0,285,209.781234
297.0,297,210.744238
299.0,299,211.648234
190.0,190,212.327232
258.0,258,213.130234
198.0,198,213.929783
252.0,252,214.99842
282.0,282,216.178029
237.0,237,216.996278
198.0,198,217.727304
222.0,222,218.477637
330.0,330,219.66718
235.0,235,220.40218
206.0,206,221.085181
223.0,223,221.806179
295.0,295,222.787056
339.0,339,224.052495
228.0,228,224.924434
216.0,216,225.684438
239.0,239,226.543039
302.0,302,227.637491
230.0,230,228.481107
288.0,288,229.495829
259.0,259,230.30651
256.0,256,231.180734
262.0,262,232.016197
294.0,294,232.956455
213.0,213,233.61508
