#{"t_start": 1781856978.2918658, "env_id": "CartPole-v1"}
r,l,t
14.0,14,15.893939
14.0,14,15.913959
13.0,13,15.940933
15.0,15,15.966933
52.0,52,16.086934
40.0,40,16.165928
13.0,13,16.191933
19.0,19,16.245929
21.0,21,16.276928
28.0,28,16.331934
12.0,12,16.355932
30.0,30,16.402932
15.0,15,16.432932
21.0,21,16.467931
37.0,37,16.568935
12.0,12,16.598933
22.0,22,16.645928
21.0,21,16.685933
23.0,23,16.731787
28.0,28,16.806567
17.0,17,16.847999
19.0,19,16.887704
14.0,14,16.929334
27.0,27,16.979465
15.0,15,17.006997
12.0,12,17.04558
13.0,13,17.082685
22.0,22,17.130272
16.0,16,17.178075
15.0,15,17.207728
26.0,26,17.268947
11.0,11,17.299077
61.0,61,17.447959
15.0,15,17.466503
16.0,16,17.498193
38.0,38,17.593718
20.0,20,17.653949
27.0,27,17.709548
19.0,19,17.745613
17.0,17,17.790966
18.0,18,17.816942
46.0,46,17.911179
31.0,31,18.001652
23.0,23,18.065549
9.0,9,18.08413
30.0,30,18.150864
20.0,20,18.202342
11.0,11,18.249164
13.0,13,18.293976
15.0,15,18.33265
19.0,19,18.39268
12.0,12,18.407198
12.0,12,18.423704
22.0,22,18.458813
19.0,19,18.524682
20.0,20,18.565583
14.0,14,18.603663
11.0,11,18.632736
14.0,14,18.66119
19.0,19,18.697971
34.0,34,18.766006
18.0,18,18.79332
27.0,27,18.886189
11.0,11,18.917913
15.0,15,18.961002
45.0,45,19.037905
16.0,16,19.083238
25.0,25,19.124172
17.0,17,19.15127
14.0,14,19.186564
18.0,18,19.219188
15.0,15,19.245234
30.0,30,19.310151
49.0,49,19.415599
14.0,14,19.44283
18.0,18,19.510119
13.0,13,19.535187
15.0,15,19.575552
22.0,22,19.614037
20.0,20,19.658385
35.0,35,19.724616
22.0,22,19.76794
15.0,15,19.796468
23.0,23,19.834443
13.0,13,19.871519
38.0,38,19.970478
19.0,19,20.00605
15.0,15,20.045645
31.0,31,20.108259
33.0,33,20.150303
12.0,12,20.1754
17.0,17,20.21639
21.0,21,20.259489
16.0,16,20.288872
15.0,15,20.333715
21.0,21,20.391759
20.0,20,20.449118
61.0,61,20.557753
18.0,18,20.585804
20.0,20,20.623561
17.0,17,20.655789
47.0,47,20.726463
20.0,20,20.790775
13.0,13,20.823818
45.0,45,20.941224
12.0,12,20.961686
21.0,21,20.99379
10.0,10,21.022062
10.0,10,21.035604
12.0,12,21.054859
40.0,40,21.132208
9.0,9,21.142725
27.0,27,21.188589
10.0,10,21.208845
33.0,33,21.277705
45.0,45,21.377944
27.0,27,21.425034
12.0,12,21.445131
24.0,24,21.503608
18.0,18,21.528662
13.0,13,21.554193
32.0,32,21.619971
13.0,13,21.645478
26.0,26,21.695976
33.0,33,21.749204
13.0,13,21.772168
21.0,21,21.830363
15.0,15,21.866115
14.0,14,21.898319
26.0,26,21.957043
9.0,9,21.978323
28.0,28,22.024614
25.0,25,22.06969
25.0,25,22.10505
18.0,18,22.133132
10.0,10,22.164656
19.0,19,22.203404
84.0,84,22.375344
16.0,16,22.437486
11.0,11,22.460312
25.0,25,22.51535
9.0,9,22.534857
11.0,11,22.553987
12.0,12,22.574012
13.0,13,22.597537
16.0,16,22.635644
13.0,13,22.665316
11.0,11,22.693846
21.0,21,22.742409
27.0,27,22.793765
22.0,22,22.871699
41.0,41,22.998601
17.0,17,23.049686
22.0,22,23.08341
26.0,26,23.170932
35.0,35,23.273161
22.0,22,23.31274
19.0,19,23.365427
15.0,15,23.40434
15.0,15,23.436286
33.0,33,23.524214
14.0,14,23.555739
28.0,28,23.64028
10.0,10,23.662487
14.0,14,23.695357
16.0,16,23.73818
18.0,18,23.788193
31.0,31,23.870967
16.0,16,23.899117
39.0,39,23.954704
15.0,15,23.996043
16.0,16,24.035553
23.0,23,24.080269
11.0,11,24.101784
24.0,24,24.15379
12.0,12,24.177341
28.0,28,24.243119
30.0,30,24.309123
19.0,19,24.342688
26.0,26,24.392493
16.0,16,24.436092
9.0,9,24.449098
14.0,14,24.48106
18.0,18,24.508112
11.0,11,24.528627
24.0,24,24.575306
31.0,31,24.640065
15.0,15,24.675195
48.0,48,24.748081
18.0,18,24.788166
61.0,61,24.939976
41.0,41,25.01605
9.0,9,25.035049
18.0,18,25.063048
16.0,16,25.10005
65.0,65,25.20406
21.0,21,25.252045
13.0,13,25.275048
22.0,22,25.317044
19.0,19,25.360053
17.0,17,25.38705
19.0,19,25.41905
21.0,21,25.463049
24.0,24,25.50305
20.0,20,25.53505
9.0,9,25.553051
22.0,22,25.609049
18.0,18,25.653046
15.0,15,25.67405
11.0,11,25.704051
13.0,13,25.733046
41.0,41,25.811043
12.0,12,25.82706
15.0,15,25.84505
10.0,10,25.865049
10.0,10,25.877047
24.0,24,25.925047
20.0,20,25.952053
14.0,14,25.977105
15.0,15,25.997097
18.0,18,26.026044
13.0,13,26.047044
15.0,15,26.072046
37.0,37,26.119042
23.0,23,26.167048
22.0,22,26.206047
17.0,17,26.277051
18.0,18,26.31005
18.0,18,26.342049
17.0,17,26.379051
56.0,56,26.468048
34.0,34,26.53605
15.0,15,26.55705
45.0,45,26.641049
35.0,35,26.714046
51.0,51,26.798049
21.0,21,26.842049
19.0,19,26.874058
37.0,37,26.95705
14.0,14,26.986049
10.0,10,27.000051
12.0,12,27.02105
13.0,13,27.062052
22.0,22,27.093047
18.0,18,27.125046
20.0,20,27.174049
19.0,19,27.21005
15.0,15,27.23605
19.0,19,27.277052
9.0,9,27.29005
16.0,16,27.322053
25.0,25,27.355058
20.0,20,27.396049
9.0,9,27.415052
13.0,13,27.44205
16.0,16,27.467058
34.0,34,27.545051
10.0,10,27.563059
20.0,20,27.614053
18.0,18,27.640051
20.0,20,27.67206
20.0,20,27.700058
42.0,42,27.805052
41.0,41,27.893058
27.0,27,27.932049
16.0,16,27.965048
15.0,15,27.992045
24.0,24,28.02406
27.0,27,28.066049
27.0,27,28.12205
16.0,16,28.152046
28.0,28,28.218043
12.0,12,28.238051
11.0,11,28.25705
11.0,11,28.282049
16.0,16,28.311047
17.0,17,28.333043
13.0,13,28.349043
16.0,16,28.38405
12.0,12,28.424049
13.0,13,28.449049
15.0,15,28.48305
38.0,38,28.589048
36.0,36,28.66605
13.0,13,28.686051
10.0,10,28.699049
13.0,13,28.726044
41.0,41,28.802051
21.0,21,28.835051
14.0,14,28.873049
17.0,17,28.905051
10.0,10,28.920046
11.0,11,28.942051
27.0,27,28.999044
24.0,24,29.040049
20.0,20,29.076049
39.0,39,29.13956
17.0,17,29.161075
45.0,45,29.246078
13.0,13,29.266078
18.0,18,29.301079
40.0,40,29.395076
12.0,12,29.434075
14.0,14,29.455077
16.0,16,29.483078
17.0,17,29.515079
15.0,15,29.553082
10.0,10,29.573078
18.0,18,29.601078
23.0,23,29.652072
22.0,22,29.699079
22.0,22,29.73208
14.0,14,29.775078
87.0,87,29.926072
29.0,29,29.981088
33.0,33,30.035076
32.0,32,30.078072
29.0,29,30.138078
14.0,14,30.171078
16.0,16,30.201078
9.0,9,30.229075
20.0,20,30.275078
18.0,18,30.311088
19.0,19,30.355075
13.0,13,30.375079
23.0,23,30.410079
54.0,54,30.514078
14.0,14,30.535079
15.0,15,30.567076
37.0,37,30.619079
26.0,26,30.679076
24.0,24,30.717078
18.0,18,30.743079
11.0,11,30.762079
33.0,33,30.829079
13.0,13,30.850079
10.0,10,30.867078
19.0,19,30.906071
28.0,28,30.954077
47.0,47,31.028079
15.0,15,31.049078
11.0,11,31.065079
10.0,10,31.082075
10.0,10,31.105078
12.0,12,31.132083
28.0,28,31.184079
17.0,17,31.233089
25.0,25,31.280077
14.0,14,31.314083
24.0,24,31.361079
20.0,20,31.401074
36.0,36,31.471077
30.0,30,31.518077
48.0,48,31.607078
19.0,19,31.647083
18.0,18,31.689078
20.0,20,31.72208
31.0,31,31.793076
17.0,17,31.832078
10.0,10,31.846089
15.0,15,31.891078
15.0,15,31.916075
25.0,25,31.963088
11.0,11,31.981086
19.0,19,32.01708
35.0,35,32.074079
20.0,20,32.126079
21.0,21,32.161078
13.0,13,32.188079
17.0,17,32.223079
8.0,8,32.241074
14.0,14,32.263073
69.0,69,32.389072
22.0,22,32.424078
19.0,19,32.47208
17.0,17,32.498073
29.0,29,32.556076
18.0,18,32.587081
17.0,17,32.624079
14.0,14,32.666078
18.0,18,32.696078
35.0,35,32.748087
15.0,15,32.777082
17.0,17,32.813081
30.0,30,32.860089
35.0,35,32.925076
29.0,29,32.986079
79.0,79,33.148078
15.0,15,33.175078
10.0,10,33.190078
35.0,35,33.260075
26.0,26,33.30408
10.0,10,33.31808
12.0,12,33.337077
29.0,29,33.401079
21.0,21,33.440082
37.0,37,33.507078
15.0,15,33.532078
11.0,11,33.551071
17.0,17,33.590075
19.0,19,33.625078
22.0,22,33.667086
31.0,31,33.738333
25.0,25,33.782449
40.0,40,33.878623
18.0,18,33.907148
34.0,34,33.995113
30.0,30,34.051688
16.0,16,34.078235
34.0,34,34.129848
22.0,22,34.182482
40.0,40,34.242676
17.0,17,34.301099
13.0,13,34.327959
17.0,17,34.379264
11.0,11,34.414809
29.0,29,34.464238
44.0,44,34.559726
19.0,19,34.599687
28.0,28,34.650866
20.0,20,34.685469
13.0,13,34.70399
15.0,15,34.744377
43.0,43,34.828388
25.0,25,34.884483
16.0,16,34.914637
15.0,15,34.966234
23.0,23,35.002906
39.0,39,35.084021
16.0,16,35.10945
10.0,10,35.137484
10.0,10,35.151494
17.0,17,35.190803
12.0,12,35.211154
11.0,11,35.235524
15.0,15,35.259543
12.0,12,35.278208
21.0,21,35.32326
13.0,13,35.351855
42.0,42,35.446167
20.0,20,35.480246
37.0,37,35.548125
26.0,26,35.598342
18.0,18,35.629935
22.0,22,35.678373
45.0,45,35.778227
26.0,26,35.825299
11.0,11,35.8553
23.0,23,35.894298
10.0,10,35.909301
14.0,14,35.951292
15.0,15,35.982294
36.0,36,36.040298
15.0,15,36.071299
13.0,13,36.097302
17.0,17,36.120301
27.0,27,36.179293
12.0,12,36.198291
17.0,17,36.231298
22.0,22,36.267298
12.0,12,36.297292
18.0,18,36.328308
13.0,13,36.350307
14.0,14,36.376301
16.0,16,36.421299
15.0,15,36.446298
22.0,22,36.511297
36.0,36,36.5733
16.0,16,36.596294
21.0,21,36.636293
10.0,10,36.6583
19.0,19,36.686298
15.0,15,36.712298
11.0,11,36.741292
